"ensembl.id" "symbol" "type"
"5" "ENSG00000243485" "MIR1302-2HG" "lncRNA"
"7" "ENSG00000237613" "FAM138A" "lncRNA"
"11" "ENSG00000186092" "OR4F5" "protein_coding"
"12" "ENSG00000238009" "ENSG00000238009" "lncRNA"
"18" "ENSG00000241860" "ENSG00000241860" "lncRNA"
"19" "ENSG00000222623" "RNU6-1100P" "snRNA"
"20" "ENSG00000241599" "ENSG00000241599" "lncRNA"
"24" "ENSG00000228463" "ENSG00000228463" "transcribed_processed_pseudogene"
"27" "ENSG00000236601" "ENSG00000236601" "lncRNA"
"32" "ENSG00000233653" "CICP7" "processed_pseudogene"
"36" "ENSG00000235146" "ENSG00000235146" "lncRNA"
"41" "ENSG00000229344" "MTCO2P12" "unprocessed_pseudogene"
"49" "ENSG00000223181" "RNU6-1199P" "snRNA"
"52" "ENSG00000237491" "LINC01409" "lncRNA"
"56" "ENSG00000177757" "FAM87B" "lncRNA"
"57" "ENSG00000225880" "LINC00115" "lncRNA"
"58" "ENSG00000228794" "LINC01128" "lncRNA"
"60" "ENSG00000230368" "FAM41C" "lncRNA"
"63" "ENSG00000272438" "ENSG00000272438" "lncRNA"
"64" "ENSG00000230699" "ENSG00000230699" "lncRNA"
"65" "ENSG00000241180" "ENSG00000241180" "lncRNA"
"66" "ENSG00000223764" "LINC02593" "lncRNA"
"67" "ENSG00000187634" "SAMD11" "protein_coding"
"68" "ENSG00000188976" "NOC2L" "protein_coding"
"69" "ENSG00000187961" "KLHL17" "protein_coding"
"70" "ENSG00000187583" "PLEKHN1" "protein_coding"
"71" "ENSG00000187642" "PERM1" "protein_coding"
"72" "ENSG00000272512" "ENSG00000272512" "lncRNA"
"73" "ENSG00000188290" "HES4" "protein_coding"
"74" "ENSG00000187608" "ISG15" "protein_coding"
"77" "ENSG00000188157" "AGRN" "protein_coding"
"80" "ENSG00000273443" "ENSG00000273443" "lncRNA"
"81" "ENSG00000217801" "ENSG00000217801" "transcribed_unprocessed_pseudogene"
"82" "ENSG00000237330" "RNF223" "protein_coding"
"83" "ENSG00000131591" "C1orf159" "protein_coding"
"85" "ENSG00000223823" "LINC01342" "lncRNA"
"86" "ENSG00000207730" "MIR200B" "miRNA"
"87" "ENSG00000207607" "MIR200A" "miRNA"
"88" "ENSG00000198976" "MIR429" "miRNA"
"89" "ENSG00000272141" "ENSG00000272141" "lncRNA"
"91" "ENSG00000162571" "TTLL10" "protein_coding"
"92" "ENSG00000186891" "TNFRSF18" "protein_coding"
"93" "ENSG00000186827" "TNFRSF4" "protein_coding"
"94" "ENSG00000078808" "SDF4" "protein_coding"
"95" "ENSG00000176022" "B3GALT6" "protein_coding"
"96" "ENSG00000184163" "C1QTNF12" "protein_coding"
"97" "ENSG00000260179" "ENSG00000260179" "lncRNA"
